What is your age,What is your gender identity,Other (please specify)...4,American Indian or Alaska Native,Asian or Asian American,Black or African American,Hispanic or Latino,Middle Eastern or North African,Native Hawaiian or other Pacific Islander,White,Another race,Other (please specify)...13,In what state or U.S. territory do you live?,What is the geography of your place of residence?,Which of the following best describes your current relationship status?,What is the highest level of education you have completed?,Protestantism,Catholicism,Christianity,Judaism,Islam,Buddhism,Hinduism,Native American,Inter/Non-denominational,No religion,Other (please specify)...28,RHISum,RHIMean,PeerMean,MentorMean,CommunityMean,Zest,Engagement,Authenticity,SocialScore,EmotionalScore,Loneliness
50,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Illinois,Urban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spiritual,132,6.947368421052632,3.5833333333333335,3.909090909090909,3.2857142857142856,3.8461538461538463,3.75,3.0833333333333335,0,0,0
38,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Virginia,Exurban,Married,Completed graduate school,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,5.578947368421052,3.4166666666666665,2.5454545454545454,2.642857142857143,3,2.75,2.8333333333333335,4,4,8
39,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,145,7.631578947368421,4.166666666666667,4.545454545454546,3.2142857142857144,3.769230769230769,4.5,3.5,1,6,7
34,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Urban,Cohabiting with a significant other or in a domestic partnership,Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,88,4.631578947368421,2.8333333333333335,2.272727272727273,2.0714285714285716,2.076923076923077,2.3333333333333335,2.75,5,6,11
38,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Tennessee,Rural,Married,Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,118,6.2105263157894735,3.5,3.3636363636363638,2.7857142857142856,3.4615384615384617,3.25,2.8333333333333335,4,6,10
49,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Iowa,Suburban,Divorced,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,113,5.947368421052632,3.3333333333333335,4.090909090909091,2,2.6923076923076925,2.75,3.75,5,6,11
48,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Washington,Urban,Married,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,Taoism,107,5.631578947368421,2.75,3.4545454545454546,2.5714285714285716,3,2.75,2.9166666666666665,5,6,11
28,Cisgender woman,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Illinois,Urban,"Single, never married",Some graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,167,8.789473684210526,4.75,4.909090909090909,4,5,5,3.5,0,0,0
32,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Utah,Suburban,Married,Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9166666666666665,2.909090909090909,NA,NA,3.9166666666666665,2.8333333333333335,2,5,7
34,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,White,NA,NA,Florida,Urban,"Single, never married",11th grade,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,115,6.052631578947368,2.9166666666666665,3.090909090909091,3.2857142857142856,3.076923076923077,3,3.25,4,5,9
32,Cisgender woman,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Washington,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,Buddhism,NA,NA,NA,NA,NA,NA,NA,2.8333333333333335,3.272727272727273,NA,NA,2.9166666666666665,3.0833333333333335,5,6,11
40,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Arizona,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,108,5.684210526315789,3.4166666666666665,3,2.4285714285714284,2.769230769230769,2.8333333333333335,3.1666666666666665,1,0,1
36,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Pennsylvania,Rural,Married,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,7.7368421052631575,4.166666666666667,4.363636363636363,3.5,4,4.583333333333333,3.3333333333333335,0,0,0
45,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,White,NA,NA,Florida,Urban,Divorced,Completed graduate school,NA,NA,NA,Judaism,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4166666666666665,NA,NA,NA,NA,3,3,1,4
34,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,California,Urban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,147,7.7368421052631575,4.166666666666667,4.2727272727272725,3.5714285714285716,4.3076923076923075,4.5,3.0833333333333335,0,0,0
30,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Urban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,124,6.526315789473684,3,4.545454545454546,2.7142857142857144,3.3846153846153846,3.4166666666666665,3.25,5,6,11
33,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Louisiana,Urban,"Single, never married",1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,141,7.421052631578948,4.166666666666667,4.181818181818182,3.2142857142857144,3.923076923076923,3.75,3.75,5,0,5
45,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Rural,Divorced,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,111,5.842105263157895,3.0833333333333335,3.5454545454545454,2.5,2.8461538461538463,3,3.1666666666666665,5,6,11
20,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Alabama,Rural,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,144,7.578947368421052,3.8333333333333335,4.090909090909091,3.7857142857142856,4.230769230769231,4,3.4166666666666665,0,4,4
34,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Nebraska,Rural,Divorced,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,Inter/Non-denominational,NA,NA,123,6.473684210526316,3.6666666666666665,3.4545454545454546,2.9285714285714284,3.3076923076923075,3.25,3.4166666666666665,3,5,8
48,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Colorado,Urban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,115,6.052631578947368,3.5,3,2.857142857142857,3.076923076923077,3.25,3,4,4,8
29,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Massachusetts,Suburban,"Single, never married",Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2.6842105263157894,1.3333333333333333,1,1.7142857142857142,1,1,2.1666666666666665,5,6,11
32,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,114,6,3.3333333333333335,3.8181818181818183,2.2857142857142856,3,3.0833333333333335,3.1666666666666665,4,4,8
39,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,New Jersey,Suburban,"Single, never married",1 year of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agnostic,87,4.578947368421052,2,3.272727272727273,1.9285714285714286,2,2.4166666666666665,2.6666666666666665,5,1,6
71,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,138,7.2631578947368425,4.416666666666667,3.3636363636363638,3.4285714285714284,3.5384615384615383,3.75,3.9166666666666665,3,6,9
40,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Ohio,Exurban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,124,6.526315789473684,3.25,3.272727272727273,3.5,3.1538461538461537,3.5833333333333335,3.3333333333333335,1,2,3
39,Cisgender man,NA,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from high school,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,109,5.7368421052631575,4.416666666666667,3.090909090909091,1.5714285714285714,2.6923076923076925,3.25,2.9166666666666665,0,3,3
41,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New York,Urban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,177,9.31578947368421,5,5,4.428571428571429,4.769230769230769,4.916666666666667,4.666666666666667,1,2,3
37,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Urban,Married,Completed graduate school,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,5.947368421052632,3.5,2.5454545454545454,3.0714285714285716,3.076923076923077,3.3333333333333335,2.75,4,6,10
39,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Arizona,Suburban,"Single, never married",Completed graduate school,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,6.631578947368421,3.5833333333333335,4,2.7857142857142856,3.1538461538461537,3.5,3.5833333333333335,4,3,7
41,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,100,5.2631578947368425,2.5,2.8181818181818183,2.7857142857142856,2.3076923076923075,2.5,3.3333333333333335,5,2,7
27,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,California,Urban,"Single, never married",Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,3.1578947368421053,1.5,1.0909090909090908,2.142857142857143,1.1538461538461537,1.1666666666666667,2.5833333333333335,5,6,11
42,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Illinois,Urban,"Single, never married",Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,6.578947368421052,4.333333333333333,4.2727272727272725,1.8571428571428572,2.923076923076923,3.75,3.5,0,0,0
31,Non-binary,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Michigan,Rural,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,79,4.157894736842105,3.0833333333333335,1.0909090909090908,2.142857142857143,1.5384615384615385,1.75,3.1666666666666665,5,6,11
33,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Texas,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,103,5.421052631578948,3.25,3.1818181818181817,2.0714285714285716,3,2.6666666666666665,2.6666666666666665,5,6,11
24,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Texas,Suburban,"Single, never married",2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,142,7.473684210526316,4.166666666666667,4.545454545454546,3,3.6923076923076925,3.75,4.083333333333333,3,3,6
41,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Texas,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,87,4.578947368421052,2.5,2.5454545454545454,2.0714285714285716,1.8461538461538463,2.5,2.75,5,6,11
41,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Illinois,Rural,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,95,5,3.75,2.5454545454545454,1.5714285714285714,2.3076923076923075,2.3333333333333335,3.0833333333333335,2,5,7
41,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Georgia,Suburban,"Single, never married",Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,146,7.684210526315789,4.583333333333333,4.363636363636363,3.0714285714285716,4.153846153846154,4.25,3.4166666666666665,0,0,0
35,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Georgia,Urban,"Single, never married",Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,77,4.052631578947368,2.75,1.0909090909090908,2.2857142857142856,1.5384615384615385,1.6666666666666667,3.0833333333333335,5,1,6
48,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Married,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,7.421052631578948,3.6666666666666665,4.090909090909091,3.7142857142857144,3.923076923076923,3.9166666666666665,3.5833333333333335,1,1,2
33,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Massachusetts,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,5.7894736842105265,3.1666666666666665,2.727272727272727,3,2.6923076923076925,3.25,3,1,5,6
39,Cisgender woman,Woman,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,California,Rural,Married,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.272727272727273,NA,3,NA,2.8333333333333335,5,3,8
56,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Washington,Urban,"Single, never married",Some graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,118,6.2105263157894735,3.1666666666666665,3.090909090909091,3.2857142857142856,3.076923076923077,3.25,3.25,4,6,10
58,Cisgender woman,NA,NA,NA,NA,NA,Middle Eastern or North African,NA,White,NA,NA,Pennsylvania,Exurban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,2.5,NA,2.0714285714285716,NA,1.75,2.8333333333333335,5,6,11
46,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Tennessee,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,Inter/Non-denominational,NA,NA,126,6.631578947368421,3.5833333333333335,3.6363636363636362,3.0714285714285716,3.6923076923076925,2.9166666666666665,3.5833333333333335,3,4,7
55,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Ohio,Rural,Divorced,1 year of college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,6.421052631578948,3.6666666666666665,3.3636363636363638,2.9285714285714284,3.230769230769231,3.4166666666666665,3.25,4,2,6
